duke
opp_fg3_pct,.285,4th
opp_orb,346,125th
opp_drb,797,267th
opp_ast,343,29th
opp_stl,187,63rd
opp_blk,103,137th
opp_tov,395,271st
opp_pf,567,117th
opp_pts_per_g,56.8,3rd
SOS:,4.27
ORtg:,104.1
DRtg:,91.0
cornell
g,34,0,34,0,34,31,34,34,31,34,31,27,26,34,34,7,17,10,15,20,17,10,4
fg_pct,.482,14th,.474,.469,.625,.443,.500,.483,.396,.456,.348,.529,.561,.333,.333,.200,.667,.267,.400,.000,.000
fga,1894,92nd
fg2_pct,.517,47th,.538,.525,.625,.430,.585,.576,.410,.188,.348,.529,.561,.000,.350,1.000,.667,.250,.667,.000,.000
fg2a,1135,232nd
fg3_pct,.430,1st,.427,.391,0,.454,.452,.448,.333,.561,0,0,0,.500,.000,.000,0,.333,.000,0,0
fg3a,759,24th
ft_pct,.730,44th,.826,.841,.592,.873,.808,.867,.741,.625,.793,.667,.600,0,.500,1.000,.500,.000,.667,.600,0
fta,538,317th
pts_per_g,76.4,35th,17.5,12.8,12.3,8.9,6.7,4.9,3.3,3.0,2.7,2.4,1.9,0.9,0.9,0.7,0.7,0.5,0.4,0.3,0.0
orb,353,205th
drb,796,113th
ast,543,22nd
stl,243,83rd
blk,122,115th
tov,414,94th
pf,598,168th
opp_fg_pct,.419,108th
opp_fg2_pct,.457,97th
opp_fg3_pct,.340,170th
opp_orb,335,94th
opp_drb,707,79th
opp_ast,391,125th
opp_stl,217,191st
opp_blk,97,102nd
opp_tov,463,130th
opp_pf,561,105th
opp_pts_per_g,64.5,67th
SOS:,-0.91
ORtg:,117.3
DRtg:,99.0
wisconsin
g,33,0,33,0,24,33,33,33,33,33,30,33,19,28,8,9,6,5,2,1
fg_pct,.443,123rd,.522,.406,.458,.395,.493,.436,.547,.309,.615,.333,.333,.500,.500,0,0,0
fga,1750,187th
fg2_pct,.500,90th,.549,.415,.578,.437,.595,.448,.683,.350,.583,.429,.333,1.000,.500,0,0,0
fg2a,1060,291st
fg3_pct,.357,101st,.391,.396,.389,.327,.316,.200,.304,.295,1.000,.000,0,.000,0,0,0,0
fg3a,690,59th
ft_pct,.732,37th,.720,.713,.873,.718,.741,.613,.773,.696,.500,.800,.333,1.000,0,0,0,0
fta,568,293rd
